기간,국가,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
"2024","노르웨이",11002,451059,26034,1396132,-945073
"2024","리비아",101952,450413,253,26564,423849
"2024","쿠웨이트",9191,431195,663,8849717,-8418522
"2024","탄자니아",3741,407169,485,43477,363691
"2024","아르헨티나",9005,384883,4847,1384922,-1000039
"2024","우크라이나",9969,374211,2654,492385,-118174
"2024","모로코",4924,365793,4733,190676,175117
"2024","미얀마",9829,325210,23608,560150,-234940
"2024","도미니카 공화국",6534,325079,1718,97707,227371
"2024","알제리",3345,291473,322,3633265,-3341793
"2024","과테말라",10856,287467,5054,131074,156393
"2024","괌",7197,261130,610,6655,254475
"2024","코스타리카",10460,251298,5482,190017,61281
"2024","불가리아",7217,237191,14539,254448,-17256
"2024","엘살바도르",2900,224248,1457,60484,163764
"2024","세르비아",3693,219701,2282,272894,-53194
"2024","알바니아",15877,217986,1280,9174,208812
"2024","피지",1061,210627,147,38114,172512
"2024","아제르바이잔",9806,202745,85,1673,201071
"2024","지브랄타",207,201755,18,415,201340
"2024","바레인",3705,195584,731,398373,-202789
"2024","가나",8346,189083,377,55480,133604
"2024","타지크",23025,188907,20,6012,182895
"2024","스리랑카",9686,186398,5936,126110,60288
"2024","온두라스",4997,185697,2201,77101,108596
"2024","토고",1263,175942,254,34097,141845
"2024","케냐",3739,173142,1059,39906,133236
"2024","코트디봐르",2111,167403,228,89332,78071
"2024","우루과이",2551,163936,886,185768,-21832
"2024","세네갈",5946,163003,523,39635,123368
"2024","이란",2620,157624,202,8875,148748
"2024","에티오피아",734,147734,3496,125902,21833
"2024","조지아",6231,143728,1011,17520,126207
"2024","튀니지",2017,138969,9270,120985,17984
"2024","파라과이",1979,124937,414,85377,39561
"2024","바하마",451,118705,48,369,118336
"2024","라오스",2114,105284,2393,95418,9866
"2024","에스토니아",4080,101276,3833,105938,-4662
"2024","벨라루스",2485,93368,305,11133,82235
"2024","크로아티아",2423,90153,1659,36615,53537
"2024","파푸아 뉴기니",789,88086,377,1001642,-913556
"2024","니카라과",1960,87159,561,56183,30976
"2024","르완다",2428,85433,74,1849,83584
"2024","레바논",2490,84434,759,30260,54174
"2024","트리니다드 토바고",1013,78067,439,169848,-91781
"2024","모잠비크",834,77908,228,733142,-655235
"2024","몰도바",1955,72811,3473,77843,-5033
"2024","기타국",951,70778,9145,449716,-378938
"2024","예맨",5210,64516,388,37002,27514
"2024","브루나이",1822,60329,226,512102,-451773
"2024","라트비아",3431,59054,3795,105357,-46303
"2024","투르크멘",270,56825,12,38,56788
"2024","모리셔스",1983,56704,309,5517,51187
"2024","사이프러스",2919,56075,355,9448,46627
"2024","사모아",337,55155,14,320,54835
"2024","수단",274,48364,22,2982,45382
"2024","불령 폴리네시아",598,46626,15,512,46115
"2024","네팔",2093,46111,1295,6697,39414
"2024","룩셈부르그",1860,43305,2018,76682,-33377
"2024","베네주엘라",1198,42385,125,6466,35920
"2024","콩고민주공화국",574,41963,478,965973,-924010
"2024","자마이카",746,40776,93,40367,409
"2024","마다카스카르",5154,39416,1788,121683,-82268
"2024","지부티",511,39351,5,264,39087
"2024","아루바",631,37460,12,265,37195
"2024","우간다",622,36634,334,14970,21664
"2024","가이아나",888,36369,13,479,35890
"2024","아프카니스탄",704,35671,402,4539,31132
"2024","카메룬",1355,33501,226,164910,-131409
"2024","부르키나 파소",259,32671,34,9908,22763
"2024","볼리비아",901,29152,320,592281,-563129
"2024","아이슬란드",1580,28936,568,20054,8882
"2024","짐바브웨",374,28503,155,20265,8238
"2024","불령 리유니온 코모도 제도",616,27555,15,169,27386
"2024","아르메니아",1461,27207,2246,59941,-32734
"2024","잠비아",550,24266,60,27711,-3446
"2024","베닝",370,22319,23,655,21663
"2024","가봉",3753,21227,39,23565,-2339
"2024","쿠바",214,20177,81,7906,12272
"2024","벨리제",164,19957,17,3424,16533
"2024","콩고",1366,19843,26,1743,18099
"2024","기니",2262,19263,301,34973,-15710
"2024","팔레스타인 해방기구",153,18506,23,1393,17113
"2024","시에라 리온",268,18442,150,12765,5677
"2024","아이티",500,17763,71,1305,16458
"2024","세인트 마틴",174,17670,0,1,17669
"2024","팔라우",241,16927,20,388,16538
"2024","북마리아나 군도",2018,16647,75,1515,15132
"2024","마티니크",242,16563,1,1,16563
"2024","모리타니",330,14638,240,35095,-20456
"2024","소말리아",325,14602,28,2657,11946
"2024","시리아",418,14557,40,386,14171
"2024","아메리칸 사모아",332,13718,87,5556,8163
"2024","보스니아-헤르체고비나",627,13385,1274,33661,-20276
"2024","마카오",2574,13299,31762,3327,9972
"2024","큐라소",430,11902,8,421,11481
"2024","과델로프",200,11454,5,94,11361
"2024","솔로몬 군도",208,11337,21,7080,4257
"2024","몰디브",1573,11303,31,108,11195
"2024","뉴 칼레도니아",566,10996,137,227992,-216996
"2024","바누아투",502,10954,94,5898,5057
"2024","세이쉘",305,10932,39,2234,8698
"2024","나미비아",358,10451,88,128740,-118289
"2024","몬테네그로",283,10350,30,94821,-84471
"2024","바베이도스",199,10166,52,115,10051
"2024","리히텐슈타인",228,9917,699,20197,-10280
"2024","말라위",142,9405,195,18724,-9319
"2024","마세도니아",634,8470,284,8573,-103
"2024","키리바티",505,8375,17,2510,5864
"2024","말리",116,7942,37,5011,2931
"2024","적도 기니",125,7077,9,188981,-181904
"2024","영령 캐이맨 군도",110,6472,22,38,6434
"2024","니제르",71,6315,18,1678,4637
"2024","남수단",59,6131,13,13,6118
"2024","안티가 바부다",130,6093,8,441,5652
"2024","부탄",577,5786,52,12979,-7193
"2024","수리남",224,5662,139,8183,-2520
"2024","마이크로네시아",441,5643,31,2516,3126
"2024","안타티카",53,5636,11,18,5618
"2024","불령 가이아나",163,5266,0,0,5266
"2024","투발루",76,5083,9,1431,3653
"2024","세인트 루시아",137,4727,4,31,4696
"2024","스와질랜드",128,4510,146,506,4004
"2024","그레나다",92,4125,8,46,4079
"2024","감비아",762,3696,71,7711,-4015
"2024","영령 버진군도",67,3490,6,9,3482
"2024","챠드",46,3366,5,394,2972
"2024","카보 베르데",61,3058,1,3,3055
"2024","티모르",64,2926,39,291,2635
"2024","보츠와나",193,2751,37,791,1960
"2024","네덜란드 열도",105,2647,14,239,2408
"2024","도미니카",103,2339,21,4205,-1866
"2024","세인트 빈센트 그레나딘",53,2059,2,91,1968
"2024","에리트리아",27,2022,11,97839,-95817
"2024","세인트 키츠 네비스",59,1830,46,48,1782
"2024","투르크 & 카이코스 군도",46,1764,4,2,1762
"2024","코모로스",58,1686,4,37,1649
"2024","메요트",25,1383,0,0,1383
"2024","부룬디",176,1338,30,356,982
"2024","기네비소",19,1200,13,1405,-205
"2024","중앙아프리카공화국",27,748,4,21,727
"2024","상토메 프린스페",19,607,2,1,606
"2024","세인트 바르탤르미",26,583,50,469,114
"2024","세인트마틴(생마르탱)",46,413,0,0,413
"2024","통가",30,392,11,237,155
"2024","그린랜드",66,309,37,2486,-2177
"2024","산마리노",25,306,132,4887,-4581
"2024","미령 버진군도",112,295,11,61,235
"2024","안도라",39,282,44,124,158
"2024","나우루",4,163,8,8835,-8673
"2024","모나코",36,117,118,3823,-3706
"2024","코스 군도",9,116,2,2,113
"2024","레소토",8,72,42,254,-182
"2024","남조지아 & 남샌드위치 군도",3,58,4,10,49
"2024","포클랜드 군도",9,53,4,283,-231
"2024","노폴크 아일랜드",1,51,0,0,51
"2024","토켈라우",1,47,7,58,-11
"2024","저어지",33,47,10,4,42
"2024","앙귈라",26,31,8,8,23
"2024","건지",35,25,15,26,-1
"2024","쿡 아일랜드",9,17,3,6,10
"2024","교황청",40,12,1,0,11
"2024","왈라스 & 퓨투나 군도",2,11,1,1,10
"2024","파로에 군도",25,10,3,476,-465
"2024","알랜드 군도",1,4,0,6,-2
"2024","몬트세라트",4,3,4,94,-91
"2024","보네르 신트외스타티위스",1,1,1,1,0
"2024","영령 인도양",1,0,5,5,-5
"2024","세인트 헬레나",0,0,8,60,-60
"2024","불령 남부지역",0,0,1,4,-4
"2024","마이너 아우틀링 합중국 군도",0,0,7,7,-7
"2024","국제통화기금",0,0,0,0,0
"2024","크리스마스 아일랜드",0,0,7,4,-4
"2024","피트카이른",0,0,1,1,-1
"2024","맨섬",0,0,8,283,-283
"2024","보빗군도",0,0,0,0,0
"2024","니우에",0,0,20,135,-135
